Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Детергент_4,0338.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,16.68
Детергент_4,0338.22,"Массовая доля кальция, ASTM D6481",% масс,6.144
Детергент_4,0338.22,"Массовая доля цинка, ASTM D6481",% масс,0.0064
Детергент_4,0338.22,"Щелочное число, ASTM D2896",мг KOH/г,168
Противоизносная_присадка_8,0186.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,13.74
Противоизносная_присадка_8,0186.22,"Массовая доля кальция, ASTM D6481",% масс,0.001
Противоизносная_присадка_8,0186.22,"Массовая доля фосфора, ASTM D6481",% масс,8.049
Противоизносная_присадка_8,0186.22,"Массовая доля цинка, ASTM D6481",% масс,9.095
Противоизносная_присадка_8,0186.22,"Щелочное число, ASTM D2896",мг KOH/г,17.8
Депрессорная_присадка_3,0246.22,"Кинематическая вязкость, при 40°C, ASTM D445",мм²/с,846.19
Депрессорная_присадка_3,0246.22,"Кинематическая вязкость, при 100°C, ASTM D445",мм²/с,113.83
Базовое_масло_3,0415.22,Деэм.вода | ASTM D1401,мл,40
Базовое_масло_3,0415.22,Деэм.время | ASTM D1401,мин,5
Базовое_масло_3,0415.22,Деэм.масло | ASTM D1401,мл,40
Базовое_масло_3,0415.22,Деэм.эмульсия | ASTM D1401,мл,0
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -15°C, ASTM D5293",мПа*с,357
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -20°C, ASTM D5293",мПа*с,581
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -25°C, ASTM D5293",мПа*с,928
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -30°C, ASTM D5293",мПа*с,1574
Базовое_масло_3,0415.22,"Динамическая вязкость CCS -35°C, ASTM D5293",мПа*с,2866
Базовое_масло_3,0415.22,"Индекс вязкости, ГОСТ 25371",–,132
Базовое_масло_3,0415.22,"Испаряемость по NOACK, ASTM D5800",%,12.9
