scenario_id,Компонент,Наименование партии,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория"
train_1,Антиоксидант_5,32,70.832,160,168,25.4,98.04,0,1
train_1,Антиоксидант_6,13799.21,70.832,160,168,25.4,98.04,0,1
train_1,Антипенная_присадка_3,б/н,3.991,160,168,25.4,98.04,0,1
train_1,Базовое_масло_10,0285.21,60.034,160,168,25.4,98.04,0,1
train_1,Базовое_масло_17,без номера,84.281,160,168,25.4,98.04,0,1
train_1,Базовое_масло_2,0204.22,57.127,160,168,25.4,98.04,0,1
train_1,Базовое_масло_7,0186.21,99.414,160,168,25.4,98.04,0,1
train_1,Депрессорная_присадка_2,121256,17.074,160,168,25.4,98.04,0,1
train_1,Детергент_1,0174.22,93.897,160,168,25.4,98.04,0,1
train_1,Детергент_4,,26.931,160,168,25.4,98.04,0,1
train_1,Дисперсант_9,39202.20,34.255,160,168,25.4,98.04,0,1
train_1,Загуститель_2,071.21,90.699,160,168,25.4,98.04,0,1
train_1,Противоизносная_присадка_8,0186.22,99.235,160,168,25.4,98.04,0,1
train_2,Антиоксидант_14,19776.19,95.918,160,168,20.5,112.37,0,1
train_2,Антиоксидант_15,13775.21,95.918,160,168,20.5,112.37,0,1
train_2,Антипенная_присадка_3,б/н,3.991,160,168,20.5,112.37,0,1
train_2,Базовое_масло_10,0285.21,60.034,160,168,20.5,112.37,0,1
train_2,Базовое_масло_17,без номера,84.281,160,168,20.5,112.37,0,1
train_2,Базовое_масло_2,0204.22,30.818,160,168,20.5,112.37,0,1
train_2,Базовое_масло_7,0186.21,99.414,160,168,20.5,112.37,0,1
train_2,Депрессорная_присадка_2,121256,17.074,160,168,20.5,112.37,0,1
train_2,Детергент_1,0174.22,93.897,160,168,20.5,112.37,0,1
train_2,Детергент_4,,26.931,160,168,20.5,112.37,0,1
train_2,Дисперсант_9,39202.20,34.255,160,168,20.5,112.37,0,1
train_2,Загуститель_2,071.21,90.699,160,168,20.5,112.37,0,1
train_2,Противоизносная_присадка_8,0186.22,99.235,160,168,20.5,112.37,0,1
train_3,Антиоксидант_1,01028.23,17.074,160,168,-20.3,36.33,0,1
train_3,Антиоксидант_3,с ЦП 28.02.2024г,14.828,160,168,-20.3,36.33,0,1
train_3,Антипенная_присадка_1,3% р-р в МУОБР,3.991,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_1,0766.24,53.037,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_1,0766.24,14.811,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_14,из ЦП 19.09.23г,84.281,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_2,0407.24,88.496,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_3,0886.24,11.036,160,168,-20.3,36.33,0,1
train_3,Базовое_масло_5,0767.24,70.369,160,168,-20.3,36.33,0,1
